iter	Passed	Remaining
0	140	140851
1	143	71606
2	146	48522
3	147	36820
4	149	29774
5	152	25210
6	154	21980
7	157	19566
8	161	17801
9	162	16130
10	164	14788
11	168	13889
12	170	12920
13	172	12114
14	173	11380
15	175	10813
16	177	10245
17	178	9745
18	179	9274
19	180	8860
20	184	8614
21	186	8304
22	187	7984
23	189	7691
24	190	7427
25	191	7168
26	192	6927
27	193	6713
28	198	6642
29	199	6455
30	201	6309
31	203	6149
32	204	5985
33	204	5824
34	205	5677
35	206	5534
36	212	5533
37	213	5412
38	215	5307
39	216	5194
40	217	5083
41	218	4984
42	219	4879
43	220	4786
44	221	4694
45	222	4615
46	223	4534
47	224	4449
48	225	4368
49	225	4289
50	226	4218
51	227	4146
52	228	4078
53	232	4066
54	233	4008
55	234	3948
56	235	3891
57	235	3832
58	236	3779
59	237	3724
60	238	3670
61	239	3618
62	240	3575
63	244	3581
64	246	3544
65	247	3499
66	248	3456
67	249	3415
68	249	3372
69	250	3329
70	251	3288
71	252	3252
72	257	3264
73	258	3240
74	260	3207
75	261	3174
76	262	3143
77	263	3109
78	263	3077
79	264	3046
80	266	3025
81	267	2998
82	268	2966
83	269	2939
84	270	2909
85	271	2885
86	272	2862
87	278	2889
88	279	2865
89	281	2841
90	281	2816
91	282	2791
92	283	2765
93	284	2739
94	284	2714
95	285	2691
96	288	2683
97	289	2667
98	290	2645
99	291	2624
100	293	2612
101	294	2593
102	295	2576
103	296	2558
104	297	2538
105	300	2535
106	302	2521
107	303	2502
108	304	2487
109	305	2468
110	305	2449
111	306	2430
112	307	2412
113	308	2396
114	309	2378
115	309	2360
116	313	2364
117	314	2349
118	315	2335
119	316	2320
120	317	2304
121	318	2288
122	318	2273
123	319	2258
124	320	2242
125	321	2229
126	323	2222
127	324	2208
128	325	2196
129	326	2184
130	327	2173
131	328	2159
132	329	2144
133	329	2130
134	330	2117
135	331	2105
136	332	2092
137	332	2078
138	334	2072
139	335	2062
140	336	2052
141	337	2039
142	338	2027
143	339	2016
144	339	2004
145	340	1993
146	341	1981
147	342	1969
148	343	1959
149	346	1965
150	348	1957
151	349	1949
152	350	1938
153	350	1927
154	351	1918
155	352	1907
156	353	1896
157	353	1886
158	354	1875
159	355	1867
160	358	1866
161	359	1858
162	360	1852
163	361	1843
164	362	1835
165	363	1825
166	364	1816
167	364	1807
168	365	1797
169	366	1789
170	367	1780
171	368	1773
172	369	1765
173	370	1760
174	371	1752
175	372	1743
176	373	1735
177	374	1727
178	374	1719
179	375	1710
180	376	1702
181	380	1710
182	381	1703
183	383	1698
184	383	1691
185	384	1683
186	385	1675
187	386	1668
188	387	1660
189	387	1652
190	388	1645
191	389	1639
192	390	1633
193	391	1627
194	392	1620
195	393	1614
196	394	1607
197	395	1601
198	396	1594
199	396	1587
200	397	1580
201	398	1574
202	401	1577
203	402	1572
204	403	1565
205	404	1559
206	405	1554
207	406	1547
208	407	1540
209	407	1534
210	408	1528
211	409	1523
212	410	1516
213	413	1517
214	414	1513
215	415	1507
216	416	1502
217	417	1496
218	418	1491
219	418	1485
220	419	1479
221	420	1473
222	421	1467
223	422	1462
224	422	1456
225	426	1460
226	427	1455
227	428	1450
228	429	1445
229	430	1440
230	431	1435
231	431	1429
232	432	1424
233	433	1418
234	434	1413
235	435	1408
236	438	1413
237	439	1408
238	440	1403
239	441	1398
240	442	1393
241	443	1389
242	444	1384
243	445	1379
244	445	1374
245	446	1369
246	447	1364
247	450	1366
248	451	1362
