iter	Passed	Remaining
0	2	2267
1	3	1835
2	4	1643
3	6	1591
4	8	1779
5	10	1716
6	11	1637
7	12	1590
8	15	1742
9	17	1710
10	18	1637
11	19	1587
12	21	1616
13	23	1660
14	24	1609
15	25	1569
16	26	1522
17	27	1486
18	29	1542
19	30	1514
20	32	1498
21	33	1468
22	33	1435
23	35	1453
24	37	1451
25	39	1467
26	40	1449
27	41	1427
28	42	1429
29	44	1437
30	48	1513
31	53	1606
32	54	1604
33	56	1601
34	57	1577
35	57	1552
36	60	1565
37	60	1540
38	61	1517
39	62	1496
40	63	1478
41	66	1505
42	67	1508
43	69	1510
44	70	1493
45	71	1482
46	72	1466
47	73	1451
48	73	1433
49	74	1415
50	75	1398
51	76	1386
52	76	1374
53	78	1375
54	80	1375
55	81	1375
56	82	1362
57	82	1347
58	83	1333
59	84	1320
60	85	1311
61	85	1299
62	86	1289
63	87	1277
64	87	1265
65	88	1253
66	89	1241
67	90	1233
68	93	1264
69	94	1260
70	95	1253
71	96	1244
72	97	1233
73	97	1222
74	98	1213
75	99	1204
76	99	1195
77	100	1188
78	101	1180
79	101	1171
80	102	1162
81	103	1153
82	103	1141
83	103	1133
84	106	1144
85	107	1142
86	108	1136
87	108	1129
88	109	1123
89	110	1117
90	111	1110
91	111	1103
92	112	1095
93	113	1089
94	113	1082
95	114	1075
96	114	1068
97	115	1062
98	115	1055
99	116	1049
100	117	1043
101	117	1036
102	118	1030
103	120	1041
104	121	1035
105	122	1030
106	122	1024
107	123	1019
108	124	1014
109	124	1010
110	125	1008
111	126	1003
112	127	997
113	128	996
114	128	991
115	129	985
116	129	979
117	130	974
118	131	971
119	131	967
120	132	963
121	133	957
122	135	962
123	135	959
124	136	957
125	137	953
126	138	950
127	138	946
128	139	942
129	140	938
130	140	934
131	141	931
132	142	927
133	142	923
134	143	919
135	144	915
136	144	912
137	145	909
138	146	905
139	146	902
140	149	913
141	150	909
142	151	906
143	151	902
144	152	898
145	153	895
146	154	893
147	154	890
148	155	886
149	155	883
150	156	881
151	157	879
152	158	876
153	158	873
154	159	869
155	160	869
156	161	867
157	164	874
158	164	872
159	166	871
160	166	867
161	167	865
162	168	862
163	168	859
164	169	856
165	169	853
166	170	851
167	171	849
168	172	846
169	172	843
170	174	843
171	175	842
172	175	840
173	177	844
174	179	843
175	179	840
176	180	838
177	181	836
178	181	833
179	182	831
180	183	828
181	183	826
182	184	823
183	185	821
184	185	818
185	186	815
186	187	813
187	188	812
188	189	813
189	192	818
190	193	820
191	197	831
192	198	830
193	199	828
194	200	826
195	201	827
196	202	825
197	203	823
198	204	821
199	206	825
200	208	828
201	209	827
202	210	826
203	211	824
204	212	823
205	213	824
206	214	822
207	215	820
208	216	817
209	216	815
210	217	812
211	217	810
212	219	812
213	220	810
214	221	808
215	223	812
216	228	822
217	229	822
218	230	820
219	231	819
220	231	816
221	233	818
222	235	820
223	238	827
224	239	825
225	240	823
226	241	822
227	242	819
228	242	817
229	243	814
230	244	812
231	244	809
232	245	807
233	245	804
234	246	802
235	247	800
236	250	805
237	251	805
238	252	804
239	253	802
240	254	800
241	255	799
242	255	797
243	256	795
244	257	793
245	258	791
246	259	789
247	259	787
248	260	785
249	261	785
250	264	788
251	265	788
252	266	786
253	267	784
254	267	782
255	268	780
256	269	778
257	270	776
258	270	774
259	271	772
260	271	769
261	272	768
262	273	766
263	274	764
264	274	761
265	276	763
266	278	763
267	279	763
268	280	762
269	281	760
270	281	758
271	282	756
272	283	755
273	284	753
274	284	750
275	285	748
276	286	746
277	286	744
278	287	742
279	287	740
280	288	738
281	289	736
282	290	737
283	291	735
284	292	734
285	293	732
286	294	730
287	294	728
288	295	727
289	296	725
290	296	723
291	297	721
292	298	719
293	298	717
294	299	715
295	299	713
296	300	711
297	301	709
298	301	707
299	302	705
300	302	703
301	303	702
302	305	702
303	305	700
304	306	698
305	307	696
306	307	694
307	308	692
308	308	690
309	309	688
310	310	686
311	310	684
312	311	683
313	311	681
314	312	679
315	313	677
316	313	675
317	314	673
318	314	672
319	315	670
320	316	668
321	316	666
322	317	665
323	319	666
324	320	664
325	320	663
326	321	661
327	321	659
328	322	657
329	323	655
330	323	654
331	324	652
332	325	651
333	325	649
334	326	648
335	327	646
336	328	645
337	328	643
338	329	642
339	330	640
340	330	639
341	331	637
342	332	636
343	333	635
344	333	634
345	334	632
346	335	630
347	336	629
348	336	627
349	337	626
350	337	624
351	338	623
352	339	621
353	339	619
354	340	618
355	340	616
356	341	614
357	342	613
358	342	611
359	343	610
360	343	608
361	344	607
362	345	605
363	345	604
364	347	604
365	348	603
366	349	603
367	351	602
368	351	601
369	352	599
370	352	598
371	353	597
372	354	595
373	354	594
374	355	592
375	356	591
376	356	589
377	357	588
378	358	586
379	358	585
380	359	583
381	359	582
382	361	582
383	362	581
384	363	580
385	364	579
386	365	579
387	366	578
388	367	577
389	368	576
390	369	575
391	370	574
392	371	573
393	371	571
394	372	570
395	373	568
396	373	567
397	374	566
398	376	567
399	378	567
400	379	566
401	379	565
402	380	564
403	381	562
404	382	561
405	382	559
406	383	558
407	384	557
408	385	556
409	386	555
410	387	554
411	388	554
412	393	558
413	393	557
414	394	556
415	395	554
416	395	553
417	396	551
418	396	550
419	397	549
420	398	547
